t_s,count,theta_rad,omega_rad_s,vin_V
0.000284,0,0,0,0
0.0669599,0,0,0,0
0.1295193,0,0,0,0
0.1761031,0,0,0,0
0.2214249,0,0,0,0
0.2847652,0,0,0,0
0.3326582,0,0,0,0
0.3805562,0,0,0,0
0.4258711,0,0,0,0
0.472778,0,0,0,0
0.520334,0,0,0,0
0.5673255,0,0,0,0
0.6137331,0,0,0,0
0.6586888,0,0,0,0
0.7048393,0,0,0,0
0.7515477,0,0,0,0
0.7991917,0,0,0,0
0.8469979,0,0,0,0
0.892561,0,0,0,0
0.9382889,0,0,0,0
0.9861821,0,0,0,0
1.0324638,0,0,0,0
1.0781553,0,0,0,0
1.1240575,0,0,0,0
1.1708655,0,0,0,0
1.2179866,0,0,0,0
1.26525,0,0,0,0
1.3126857,0,0,0,0
1.3589007,0,0,0,0
1.4047594,0,0,0,0
1.4511922,0,0,0,0
1.4974265,0,0,0,0
1.5446269,0,0,0,0
1.5908623,0,0,0,0
1.6366422,0,0,0,0
1.6846046,0,0,0,0
1.7314939,0,0,0,0
1.7797345,0,0,0,0
1.8261095,0,0,0,0
1.8739267,0,0,0,0
1.9218312,0,0,0,0
1.969951,0,0,0,0
2.0167804,0,0,0,4
2.0625192,0,0,0,4
2.1090062,0,0,0,4
2.1554122,0,0,0,4
2.2035413,0,0,0,4
2.2508663,0,0,0,4
2.2961069,0,0,0,4
2.342882,0,0,0,4
2.3909532,0,0,0,4
2.4400526,1,0.000498665500569808,0.00843774218638102,4
2.4884353,5,0.00249332750284904,0.03561053915189,4
2.5324259,201,0.100231765614531,1.81688189246279,4
2.5797068,833,0.41538836197465,5.81913718682399,4
2.6256648,1797,0.896101904523946,9.6305249368729,4
2.6725576,3071,1.53140175224988,12.8593617662457,4
2.7192362,4625,2.30632794013536,15.941110146474,4
2.7643649,6354,3.16852059062056,18.5312505455406,4
2.8104966,8389,4.18330488428012,21.3800187615013,4
2.8585158,10748,5.3596568001243,23.9602080597317,4
2.9062178,13234,6.59933923454085,25.6366246406341,4
2.9533589,15860,7.90883483903716,27.4034250461166,4
2.9995533,18472,9.2113491265255,28.0552606300539,4
3.0464449,21142,10.5427860130469,28.3344024921417,4
3.0926702,23828,11.8822015475774,28.8617323420581,4
3.1393667,26528,13.2285983991159,28.8380089592668,4
3.1863982,29237,14.5794832401595,28.7431494987204,4
3.2322494,31996,15.9553013562316,29.7800156676903,4
3.2798658,34805,17.3560527473322,29.4803484385956,4
3.3262307,37611,18.7553081419311,30.0552095184209,4
